fish,date,Site,trap,species,sex,status,TL,SL,head_width,body_width,papilla,total_mass,liver,acc_gland,total_gonad,gsi,hsi,body_condition,Comments (note intersex or fin erosion),substrate
1206,April,Rp1,Net,NM,F,NRF,86.45,70.35,NA,NA,NA,7.224,NA,NA,NA,NA,NA,NA,NA,Riprap
1207,April,Rp1,Net,NM,F,NRF,87.89,72.52,NA,NA,NA,8.463,NA,NA,NA,NA,NA,NA,NA,Riprap
1208,April,Rp1,Net,NM,F,NRF,85.22,70.41,NA,NA,NA,6.334,NA,NA,NA,NA,NA,NA,NA,Riprap
1209,April,Rp1,Net,NM,M,NRM,85.99,69.54,NA,NA,NA,6.377,NA,NA,NA,NA,NA,NA,NA,Riprap
1210,April,Rp1,Net,NM,F,NRF,73.1,60.18,NA,NA,NA,4.157,NA,NA,NA,NA,NA,NA,NA,Riprap
1211,April,Rp1,Net,NM,F,NRF,72.48,59.97,NA,NA,NA,3.952,NA,NA,NA,NA,NA,NA,NA,Riprap
1212,April,Rp1,Net,NM,M,NRM,79.35,65.65,NA,NA,NA,5.747,NA,NA,NA,NA,NA,NA,NA,Riprap
1213,April,Rp1,Net,NM,F,NRF,72.84,59.56,NA,NA,NA,4.218,NA,NA,NA,NA,NA,NA,NA,Riprap
1214,April,Rp1,Net,NM,F,NRF,78.76,65.45,NA,NA,NA,5.217,NA,NA,NA,NA,NA,NA,NA,Riprap
1215,April,Rp1,Net,NM,F,NRF,73.45,60.82,NA,NA,NA,4.146,NA,NA,NA,NA,NA,NA,NA,Riprap
1216,April,Rp1,Net,NM,F,NRF,82.28,66.95,NA,NA,NA,5.452,NA,NA,NA,NA,NA,NA,NA,Riprap
1217,April,Rp1,Net,NM,F,NRF,74.11,61.39,NA,NA,NA,4.078,NA,NA,NA,NA,NA,NA,NA,Riprap
1218,April,Rp1,Net,NM,F,NRF,68.41,56.46,NA,NA,NA,3.282,NA,NA,NA,NA,NA,NA,NA,Riprap
1219,April,Rp1,Net,NM,M,NRM,83.63,68.5,NA,NA,NA,5.105,NA,NA,NA,NA,NA,NA,NA,Riprap
1220,April,Rp1,Net,NM,M,NRM,79.22,64.83,NA,NA,NA,4.453,NA,NA,NA,NA,NA,NA,NA,Riprap
1221,April,Rp1,Net,NM,F,NRF,72.28,59.21,NA,NA,NA,3.702,NA,NA,NA,NA,NA,NA,NA,Riprap
1222,April,Rp1,Net,NM,F,NRF,70.19,56.64,NA,NA,NA,3.541,NA,NA,NA,NA,NA,NA,NA,Riprap
1223,April,Rp1,Net,NM,F,NRF,76.78,62.71,NA,NA,NA,4.767,NA,NA,NA,NA,NA,NA,NA,Riprap
1224,April,Rp1,Net,NM,M,NRM,77.28,63.44,NA,NA,NA,4.382,NA,NA,NA,NA,NA,NA,NA,Riprap
1225,April,Rp1,Net,NM,F,NRF,70.59,57.16,NA,NA,NA,3.018,NA,NA,NA,NA,NA,NA,NA,Riprap
1226,April,Rp1,Net,NM,F,NRF,70.62,57.88,NA,NA,NA,3.731,NA,NA,NA,NA,NA,NA,NA,Riprap
1227,April,Rp1,Net,NM,M,NRM,73.13,58.89,NA,NA,NA,3.751,NA,NA,NA,NA,NA,NA,NA,Riprap
1228,April,Rp1,Net,NM,M,NRM,69.53,55.75,NA,NA,NA,2.694,NA,NA,NA,NA,NA,NA,NA,Riprap
1229,April,Rp1,Net,NM,F,NRF,75.39,61.71,NA,NA,NA,4.231,NA,NA,NA,NA,NA,NA,NA,Riprap
1230,April,Rp1,Net,NM,F,NRF,78.82,65.32,NA,NA,NA,4.527,NA,NA,NA,NA,NA,NA,NA,Riprap
1231,April,Rp1,Net,NM,M,NRM,66.32,52.77,NA,NA,NA,2.205,NA,NA,NA,NA,NA,NA,NA,Riprap
1232,April,Rp1,Net,NM,F,NRF,70.26,56.8,NA,NA,NA,3.426,NA,NA,NA,NA,NA,NA,NA,Riprap
1233,April,Rp1,Net,NM,F,NRF,76.43,61.44,NA,NA,NA,4.947,NA,NA,NA,NA,NA,NA,NA,Riprap
1244,April,Rp1,Net,NM,M,NRM,78.07,63.88,NA,NA,NA,4.225,NA,NA,NA,NA,NA,NA,NA,Riprap
1245,April,Rp1,Net,NM,F,NRF,67.15,55.18,NA,NA,NA,2.858,NA,NA,NA,NA,NA,NA,NA,Riprap
1246,April,Rp1,Net,NM,M,NRM,66.57,54.67,NA,NA,NA,2.934,NA,NA,NA,NA,NA,NA,NA,Riprap
1247,April,Rp1,S2,NM,M,NRM,108.31,89.58,NA,NA,NA,16.031,NA,NA,NA,NA,NA,NA,NA,Riprap
1248,April,Rp1,S2,NM,M,NRM,115.71,98.08,NA,NA,NA,22.189,NA,NA,NA,NA,NA,NA,NA,Riprap
1249,April,Rp1,S2,NM,M,NRM,98.61,81.29,NA,NA,NA,11.259,NA,NA,NA,NA,NA,NA,NA,Riprap
1250,April,Rp1,S2,NM,M,NRM,94.93,77.69,NA,NA,NA,9.262,NA,NA,NA,NA,NA,NA,NA,Riprap
1251,April,Rp1,S2,NM,M,NRM,100.74,83.51,NA,NA,NA,11.312,NA,NA,NA,NA,NA,NA,NA,Riprap
1252,April,Rp1,S2,NM,M,NRM,91.16,74.57,NA,NA,NA,7.831,NA,NA,NA,NA,NA,NA,NA,Riprap
1253,April,Rp1,S2,NM,M,NRM,96.28,80.85,NA,NA,NA,10.259,NA,NA,NA,NA,NA,NA,NA,Riprap
1254,April,Rp1,S2,NM,M,NRM,99.63,82.86,NA,NA,NA,12.592,NA,NA,NA,NA,NA,NA,NA,Riprap
1255,April,Rp1,S2,NM,F,NRF,82.43,67.85,NA,NA,NA,6.353,NA,NA,NA,NA,NA,NA,NA,Riprap
1256,April,Rp1,S2,NM,F,NRF,83.92,69.54,NA,NA,NA,5.276,NA,NA,NA,NA,NA,NA,NA,Riprap
1257,April,Rp1,S2,NM,M,NRM,86.27,70.96,NA,NA,NA,6.732,NA,NA,NA,NA,NA,NA,NA,Riprap
1258,April,Rp1,S2,NM,F,NRF,76.87,63.31,NA,NA,NA,4.514,NA,NA,NA,NA,NA,NA,NA,Riprap
1259,April,Rp1,S2,NM,F,NRF,72.35,58.81,NA,NA,NA,3.735,NA,NA,NA,NA,NA,NA,NA,Riprap
1260,April,Rp1,S2,NM,F,NRF,72.51,60.08,NA,NA,NA,3.891,NA,NA,NA,NA,NA,NA,NA,Riprap
1261,April,Rp1,S2,NM,F,NRF,81.67,67.14,NA,NA,NA,5.802,NA,NA,NA,NA,NA,NA,NA,Riprap
1262,April,Rp1,S2,NM,M,NRM,80.86,65.92,NA,NA,NA,5.015,NA,NA,NA,NA,NA,NA,NA,Riprap
1263,April,Rp1,S2,NM,M,NRM,69.78,57.48,NA,NA,NA,3.518,NA,NA,NA,NA,NA,NA,NA,Riprap
1264,April,Rp1,S2,NM,F,NRF,72.21,58.18,NA,NA,NA,3.727,NA,NA,NA,NA,NA,NA,NA,Riprap
1265,April,Rp1,S2,NM,F,NRF,68.2,55.28,NA,NA,NA,3.336,NA,NA,NA,NA,NA,NA,NA,Riprap
1266,April,Rp1,S2,NM,M,NRM,76.79,62.63,NA,NA,NA,4.528,NA,NA,NA,NA,NA,NA,NA,Riprap
1267,April,Rp1,S2,NM,M,NRM,81.44,66.8,NA,NA,NA,5.185,NA,NA,NA,NA,NA,NA,NA,Riprap
1268,April,Rp1,S2,NM,M,NRM,82.66,68.15,NA,NA,NA,5.336,NA,NA,NA,NA,NA,NA,NA,Riprap
1269,April,Rp1,S2,NM,F,NRF,70.84,57.13,NA,NA,NA,3.441,NA,NA,NA,NA,NA,NA,NA,Riprap
1270,April,Rp1,S2,NM,F,NRF,76.55,63.11,NA,NA,NA,4.343,NA,NA,NA,NA,NA,NA,NA,Riprap
